c_site,state,year,age,race,sex,inci,pop
Liver,Massachusetts,2016.0,85+ years,White,female,16,96878.0
Liver,Michigan,2012.0,55-64 years,White,female,48,567101.0
Liver,Michigan,2012.0,65-74 years,White,female,19,359731.0
Liver,Michigan,2012.0,75-84 years,White,female,45,225395.0
Liver,Michigan,2012.0,85+ years,White,female,19,120964.0
Liver,Michigan,2013.0,55-64 years,White,female,42,579298.0
Liver,Michigan,2013.0,65-74 years,White,female,18,376585.0
Liver,Michigan,2013.0,75-84 years,White,female,19,222922.0
Liver,Michigan,2013.0,85+ years,White,female,25,121880.0
Liver,Michigan,2014.0,55-64 years,White,female,39,586631.0
Liver,Michigan,2014.0,65-74 years,White,female,24,392573.0
Liver,Michigan,2014.0,75-84 years,White,female,35,225963.0
Liver,Michigan,2014.0,85+ years,White,female,24,120406.0
Liver,Michigan,2015.0,55-64 years,Black or African American,female,16,89999.0
Liver,Michigan,2015.0,55-64 years,White,female,42,593097.0
Liver,Michigan,2015.0,65-74 years,White,female,19,405756.0
Liver,Michigan,2015.0,75-84 years,White,female,45,226561.0
Liver,Michigan,2015.0,85+ years,White,female,16,120241.0
Liver,Michigan,2016.0,55-64 years,Black or African American,female,16,89735.0
Liver,Michigan,2016.0,55-64 years,White,female,17,598018.0
Liver,Michigan,2016.0,65-74 years,White,female,18,419161.0
Liver,Michigan,2016.0,75-84 years,White,female,22,227433.0
Liver,Missouri,2012.0,75-84 years,White,female,17,145116.0
Liver,Missouri,2014.0,55-64 years,White,female,19,352188.0
Liver,Missouri,2015.0,55-64 years,White,female,20,358557.0
Liver,Missouri,2016.0,65-74 years,White,female,19,262341.0
Liver,Missouri,2016.0,75-84 years,White,female,16,151123.0
Liver,New Jersey,2012.0,55-64 years,White,female,38,435988.0
Liver,New Jersey,2012.0,65-74 years,White,female,33,285496.0
Liver,New Jersey,2012.0,75-84 years,White,female,39,192193.0
Liver,New Jersey,2012.0,85+ years,White,female,19,113219.0
Liver,New Jersey,2013.0,55-64 years,White,female,17,439062.0
Liver,New Jersey,2013.0,65-74 years,White,female,35,295937.0
Liver,New Jersey,2013.0,75-84 years,White,female,16,184838.0
Liver,New Jersey,2013.0,85+ years,White,female,17,116539.0
Liver,New Jersey,2014.0,55-64 years,White,female,17,446745.0
Liver,New Jersey,2014.0,65-74 years,White,female,39,304980.0
Liver,New Jersey,2014.0,75-84 years,White,female,19,185606.0
Liver,New Jersey,2014.0,85+ years,White,female,22,113251.0
Liver,New Jersey,2015.0,65-74 years,White,female,33,312506.0
Liver,New Jersey,2015.0,75-84 years,White,female,36,179970.0
Liver,New Jersey,2015.0,85+ years,White,female,18,118112.0
Liver,New Jersey,2016.0,55-64 years,White,female,37,460151.0
Liver,New Jersey,2016.0,65-74 years,White,female,21,324307.0
Liver,New Jersey,2016.0,75-84 years,White,female,37,182644.0
Liver,New Jersey,2016.0,85+ years,White,female,18,115408.0
Liver,New York,2012.0,55-64 years,Black or African American,female,19,191436.0
Liver,New York,2012.0,55-64 years,White,female,69,887844.0
Liver,New York,2012.0,65-74 years,Black or African American,female,19,118075.0
Liver,New York,2012.0,65-74 years,White,female,78,598092.0
Liver,New York,2012.0,75-84 years,White,female,70,390243.0
Liver,New York,2012.0,85+ years,White,female,26,239100.0
Liver,New York,2013.0,55-64 years,Black or African American,female,43,197469.0
Liver,New York,2013.0,55-64 years,White,female,80,900875.0
Liver,New York,2013.0,65-74 years,Black or African American,female,20,123118.0
Liver,New York,2013.0,65-74 years,White,female,90,616074.0
Liver,New York,2013.0,75-84 years,White,female,77,390201.0
Liver,New York,2013.0,85+ years,White,female,45,237658.0
Liver,New York,2014.0,45-54 years,White,female,16,924017.0
Liver,New York,2014.0,55-64 years,Black or African American,female,40,201064.0
Liver,New York,2014.0,55-64 years,White,female,79,908766.0
Liver,New York,2014.0,65-74 years,Black or African American,female,18,127773.0
Liver,New York,2014.0,65-74 years,White,female,69,633543.0
Liver,New York,2014.0,75-84 years,White,female,81,383943.0
Liver,New York,2014.0,85+ years,White,female,43,233637.0
Liver,New York,2015.0,55-64 years,Black or African American,female,25,203969.0
Liver,New York,2015.0,55-64 years,White,female,72,916667.0
Liver,New York,2015.0,65-74 years,Black or African American,female,16,131021.0
Liver,New York,2015.0,65-74 years,White,female,85,655064.0
Liver,New York,2015.0,75-84 years,White,female,60,373503.0
Liver,New York,2015.0,85+ years,White,female,42,238547.0
Liver,New York,2016.0,55-64 years,Black or African American,female,24,209482.0
Liver,New York,2016.0,55-64 years,White,female,65,915265.0
Liver,New York,2016.0,65-74 years,Black or African American,female,20,135442.0
Liver,New York,2016.0,65-74 years,White,female,72,672631.0
Liver,New York,2016.0,75-84 years,White,female,72,379659.0
Liver,New York,2016.0,85+ years,White,female,39,235957.0
Liver,North Carolina,2012.0,55-64 years,White,female,16,469093.0
Liver,North Carolina,2012.0,75-84 years,White,female,19,193262.0
Liver,North Carolina,2013.0,55-64 years,White,female,39,475317.0
Liver,North Carolina,2013.0,75-84 years,White,female,17,193682.0
Liver,North Carolina,2013.0,85+ years,White,female,23,94289.0
Liver,North Carolina,2014.0,55-64 years,White,female,44,479921.0
Liver,North Carolina,2014.0,65-74 years,White,female,17,367065.0
Liver,North Carolina,2014.0,75-84 years,White,female,18,201091.0
Liver,North Carolina,2014.0,85+ years,White,female,17,91985.0
Liver,North Carolina,2015.0,55-64 years,Black or African American,female,17,147233.0
Liver,North Carolina,2015.0,55-64 years,White,female,45,490462.0
Liver,North Carolina,2015.0,65-74 years,White,female,42,381406.0
Liver,North Carolina,2016.0,55-64 years,White,female,42,501516.0
Liver,North Carolina,2016.0,65-74 years,White,female,23,393983.0
Liver,North Carolina,2016.0,75-84 years,White,female,18,215667.0
Liver,Ohio,2012.0,55-64 years,White,female,42,682435.0
Liver,Ohio,2012.0,65-74 years,White,female,48,438972.0
Liver,Ohio,2012.0,75-84 years,White,female,43,278347.0
Liver,Ohio,2012.0,85+ years,White,female,20,151894.0
Liver,Ohio,2013.0,55-64 years,White,female,41,691366.0
Liver,Ohio,2013.0,65-74 years,White,female,44,456038.0
Liver,Ohio,2013.0,75-84 years,White,female,45,277487.0
Liver,Ohio,2013.0,85+ years,White,female,20,153421.0
Liver,Ohio,2014.0,55-64 years,White,female,46,699327.0
Liver,Ohio,2014.0,65-74 years,White,female,52,473939.0
Liver,Ohio,2014.0,75-84 years,White,female,48,277875.0
Liver,Ohio,2014.0,85+ years,White,female,29,154108.0
Liver,Ohio,2015.0,55-64 years,White,female,55,706423.0
Liver,Ohio,2015.0,65-74 years,White,female,52,489457.0
Liver,Ohio,2015.0,75-84 years,White,female,45,275704.0
Liver,Ohio,2015.0,85+ years,White,female,17,157147.0
Liver,Ohio,2016.0,55-64 years,Black or African American,female,16,91925.0
Liver,Ohio,2016.0,55-64 years,White,female,50,712432.0
Liver,Ohio,2016.0,65-74 years,White,female,51,505585.0
Liver,Ohio,2016.0,75-84 years,White,female,27,281528.0
Liver,Oklahoma,2014.0,55-64 years,White,female,17,195419.0
Liver,Oregon,2012.0,55-64 years,White,female,19,251051.0
Liver,Oregon,2013.0,55-64 years,White,female,16,253162.0
Liver,Oregon,2014.0,55-64 years,White,female,19,253508.0
Liver,Oregon,2015.0,55-64 years,White,female,22,255855.0
Liver,Oregon,2016.0,55-64 years,White,female,21,255809.0
Liver,Oregon,2016.0,65-74 years,White,female,18,201394.0
Liver,Pennsylvania,2012.0,55-64 years,White,female,47,763801.0
Liver,Pennsylvania,2012.0,65-74 years,White,female,63,507268.0
Liver,Pennsylvania,2012.0,75-84 years,White,female,46,351615.0
Liver,Pennsylvania,2012.0,85+ years,White,female,27,201692.0
Liver,Pennsylvania,2013.0,45-54 years,White,female,16,784483.0
Liver,Pennsylvania,2013.0,55-64 years,White,female,49,775401.0
Liver,Pennsylvania,2013.0,65-74 years,White,female,49,526813.0
Liver,Pennsylvania,2013.0,75-84 years,White,female,50,350436.0
Liver,Pennsylvania,2013.0,85+ years,White,female,31,200350.0
Liver,Pennsylvania,2014.0,55-64 years,White,female,62,785942.0
Liver,Pennsylvania,2014.0,65-74 years,Black or African American,female,16,49133.0
Liver,Pennsylvania,2014.0,65-74 years,White,female,63,545599.0
Liver,Pennsylvania,2014.0,75-84 years,White,female,49,342104.0
Liver,Pennsylvania,2014.0,85+ years,White,female,18,204755.0
Liver,Pennsylvania,2015.0,45-54 years,White,female,18,748031.0
Liver,Pennsylvania,2015.0,55-64 years,White,female,56,795306.0
Liver,Pennsylvania,2015.0,65-74 years,White,female,56,563785.0
Liver,Pennsylvania,2015.0,75-84 years,White,female,44,344922.0
Liver,Pennsylvania,2015.0,85+ years,White,female,29,199175.0
Liver,Pennsylvania,2016.0,55-64 years,White,female,46,799883.0
Liver,Pennsylvania,2016.0,65-74 years,White,female,55,580207.0
Liver,Pennsylvania,2016.0,75-84 years,White,female,47,338084.0
Liver,Pennsylvania,2016.0,85+ years,White,female,36,204830.0
Liver,Tennessee,2013.0,55-64 years,White,female,16,355924.0
Liver,Tennessee,2014.0,55-64 years,White,female,25,359554.0
Liver,Tennessee,2014.0,65-74 years,White,female,37,268444.0
Liver,Tennessee,2015.0,55-64 years,White,female,37,364471.0
Liver,Tennessee,2015.0,65-74 years,White,female,18,275723.0
Liver,Tennessee,2016.0,55-64 years,White,female,23,367089.0
Liver,Tennessee,2016.0,65-74 years,White,female,36,285490.0
Liver,Texas,2012.0,45-54 years,White,female,69,1308524.0
Liver,Texas,2012.0,55-64 years,Black or African American,female,20,172818.0
Liver,Texas,2012.0,55-64 years,White,female,146,1136152.0
Liver,Texas,2012.0,65-74 years,White,female,139,720079.0
Liver,Texas,2012.0,75-84 years,White,female,96,419125.0
Liver,Texas,2012.0,85+ years,White,female,61,189834.0
Liver,Texas,2013.0,35-44 years,White,female,17,1305488.0
Liver,Texas,2013.0,45-54 years,White,female,59,1301184.0
Liver,Texas,2013.0,55-64 years,Black or African American,female,48,179718.0
Liver,Texas,2013.0,55-64 years,White,female,163,1159652.0
Liver,Texas,2013.0,65-74 years,White,female,145,757982.0
Liver,Texas,2013.0,75-84 years,White,female,116,429515.0
Liver,Texas,2013.0,85+ years,White,female,48,196249.0
Liver,Texas,2014.0,45-54 years,White,female,69,1314601.0
Liver,Texas,2014.0,55-64 years,Black or African American,female,43,184966.0
Liver,Texas,2014.0,55-64 years,White,female,170,1197778.0
Liver,Texas,2014.0,65-74 years,White,female,180,797148.0
Liver,Texas,2014.0,75-84 years,White,female,117,443523.0
Liver,Texas,2014.0,85+ years,White,female,61,194305.0
Liver,Texas,2015.0,45-54 years,Black or African American,female,19,223704.0
Liver,Texas,2015.0,45-54 years,White,female,41,1326172.0
Liver,Texas,2015.0,55-64 years,Black or African American,female,37,192255.0
Liver,Texas,2015.0,55-64 years,White,female,186,1221773.0
Liver,Texas,2015.0,65-74 years,Black or African American,female,16,104397.0
Liver,Texas,2015.0,65-74 years,White,female,185,836733.0
Liver,Texas,2015.0,75-84 years,White,female,138,445955.0
Liver,Texas,2015.0,85+ years,White,female,70,204597.0
Liver,Texas,2016.0,45-54 years,White,female,56,1311459.0
Liver,Texas,2016.0,55-64 years,Black or African American,female,42,196207.0
Liver,Texas,2016.0,55-64 years,White,female,185,1243749.0
Liver,Texas,2016.0,65-74 years,Black or African American,female,18,112012.0
Liver,Texas,2016.0,65-74 years,White,female,175,865323.0
Liver,Texas,2016.0,75-84 years,White,female,136,459090.0
Liver,Texas,2016.0,85+ years,White,female,56,207827.0
Liver,Virginia,2012.0,55-64 years,White,female,16,387574.0
Liver,Virginia,2013.0,65-74 years,White,female,18,267722.0
Liver,Virginia,2014.0,55-64 years,White,female,16,394902.0
Liver,Virginia,2014.0,65-74 years,White,female,23,280055.0
Liver,Virginia,2015.0,55-64 years,Black or African American,female,16,106182.0
Liver,Virginia,2015.0,55-64 years,White,female,16,397436.0
Liver,Virginia,2015.0,65-74 years,White,female,17,289860.0
Liver,Virginia,2015.0,75-84 years,White,female,19,150777.0
Liver,Virginia,2016.0,55-64 years,White,female,17,403864.0
Liver,Washington,2012.0,55-64 years,White,female,45,388198.0
Liver,Washington,2012.0,85+ years,White,female,16,70025.0
Liver,Washington,2013.0,55-64 years,White,female,40,391204.0
Liver,Washington,2013.0,65-74 years,White,female,46,254806.0
Liver,Washington,2014.0,55-64 years,White,female,23,394542.0
Liver,Washington,2014.0,65-74 years,White,female,16,268556.0
Liver,Washington,2014.0,75-84 years,White,female,16,133287.0
Liver,Washington,2015.0,55-64 years,White,female,42,400740.0
Liver,Washington,2015.0,65-74 years,White,female,21,281687.0
Liver,Washington,2016.0,55-64 years,White,female,22,404293.0
Liver,Washington,2016.0,65-74 years,White,female,44,297596.0
Liver,Wisconsin,2013.0,75-84 years,White,female,16,141269.0
Liver,Wisconsin,2014.0,65-74 years,White,female,17,236281.0
Liver,Wisconsin,2014.0,75-84 years,White,female,17,140860.0
Liver,Wisconsin,2016.0,65-74 years,White,female,17,256763.0
Lung and Bronchus,Alabama,2012.0,45-54 years,Black or African American,female,17,91414.0
Lung and Bronchus,Alabama,2012.0,45-54 years,White,female,134,240866.0
Lung and Bronchus,Alabama,2012.0,55-64 years,Black or African American,female,71,80166.0
Lung and Bronchus,Alabama,2012.0,55-64 years,White,female,336,232527.0
Lung and Bronchus,Alabama,2012.0,65-74 years,Black or African American,female,65,42806.0
Lung and Bronchus,Alabama,2012.0,65-74 years,White,female,485,171164.0
Lung and Bronchus,Alabama,2012.0,75-84 years,Black or African American,female,54,23438.0
Lung and Bronchus,Alabama,2012.0,75-84 years,White,female,333,101179.0
Lung and Bronchus,Alabama,2012.0,85+ years,Black or African American,female,16,10716.0
Lung and Bronchus,Alabama,2012.0,85+ years,White,female,97,43801.0
Lung and Bronchus,Alabama,2013.0,45-54 years,Black or African American,female,26,89324.0
Lung and Bronchus,Alabama,2013.0,45-54 years,White,female,120,236583.0
Lung and Bronchus,Alabama,2013.0,55-64 years,Black or African American,female,86,83465.0
Lung and Bronchus,Alabama,2013.0,55-64 years,White,female,307,232634.0
Lung and Bronchus,Alabama,2013.0,65-74 years,Black or African American,female,88,44097.0
Lung and Bronchus,Alabama,2013.0,65-74 years,White,female,472,176843.0
Lung and Bronchus,Alabama,2013.0,75-84 years,Black or African American,female,51,22606.0
Lung and Bronchus,Alabama,2013.0,75-84 years,White,female,355,104457.0
Lung and Bronchus,Alabama,2013.0,85+ years,Black or African American,female,16,11787.0
Lung and Bronchus,Alabama,2013.0,85+ years,White,female,92,43778.0
Lung and Bronchus,Alabama,2014.0,45-54 years,Black or African American,female,25,90251.0
Lung and Bronchus,Alabama,2014.0,45-54 years,White,female,113,234031.0
Lung and Bronchus,Alabama,2014.0,55-64 years,Black or African American,female,88,85694.0
Lung and Bronchus,Alabama,2014.0,55-64 years,White,female,305,235767.0
Lung and Bronchus,Alabama,2014.0,65-74 years,Black or African American,female,98,46268.0
Lung and Bronchus,Alabama,2014.0,65-74 years,White,female,501,182657.0
Lung and Bronchus,Alabama,2014.0,75-84 years,Black or African American,female,53,26181.0
Lung and Bronchus,Alabama,2014.0,75-84 years,White,female,301,103280.0
Lung and Bronchus,Alabama,2014.0,85+ years,Black or African American,female,16,10608.0
Lung and Bronchus,Alabama,2014.0,85+ years,White,female,93,46817.0
Lung and Bronchus,Alabama,2015.0,45-54 years,Black or African American,female,21,88275.0
Lung and Bronchus,Alabama,2015.0,45-54 years,White,female,99,230062.0
Lung and Bronchus,Alabama,2015.0,55-64 years,Black or African American,female,77,86487.0
Lung and Bronchus,Alabama,2015.0,55-64 years,White,female,363,236353.0
Lung and Bronchus,Alabama,2015.0,65-74 years,Black or African American,female,86,49313.0
Lung and Bronchus,Alabama,2015.0,65-74 years,White,female,523,187422.0
Lung and Bronchus,Alabama,2015.0,75-84 years,Black or African American,female,53,25429.0
Lung and Bronchus,Alabama,2015.0,75-84 years,White,female,300,107301.0
Lung and Bronchus,Alabama,2015.0,85+ years,Black or African American,female,18,11086.0
Lung and Bronchus,Alabama,2015.0,85+ years,White,female,89,43862.0
Lung and Bronchus,Alabama,2016.0,45-54 years,Black or African American,female,17,89943.0
Lung and Bronchus,Alabama,2016.0,45-54 years,White,female,95,228575.0
Lung and Bronchus,Alabama,2016.0,55-64 years,Black or African American,female,92,89738.0
Lung and Bronchus,Alabama,2016.0,55-64 years,White,female,338,238654.0
Lung and Bronchus,Alabama,2016.0,65-74 years,Black or African American,female,94,52507.0
Lung and Bronchus,Alabama,2016.0,65-74 years,White,female,486,192209.0
Lung and Bronchus,Alabama,2016.0,75-84 years,Black or African American,female,58,25257.0
Lung and Bronchus,Alabama,2016.0,75-84 years,White,female,349,108545.0
Lung and Bronchus,Alabama,2016.0,85+ years,Black or African American,female,23,11341.0
Lung and Bronchus,Alabama,2016.0,85+ years,White,female,85,45541.0
Lung and Bronchus,Alaska,2012.0,55-64 years,White,female,25,32827.0
Lung and Bronchus,Alaska,2012.0,65-74 years,White,female,42,14596.0
Lung and Bronchus,Alaska,2013.0,65-74 years,White,female,37,15619.0
Lung and Bronchus,Alaska,2014.0,55-64 years,White,female,18,33194.0
Lung and Bronchus,Alaska,2014.0,65-74 years,White,female,35,16484.0
Lung and Bronchus,Alaska,2015.0,55-64 years,White,female,20,33777.0
Lung and Bronchus,Alaska,2015.0,65-74 years,White,female,40,18129.0
Lung and Bronchus,Alaska,2016.0,55-64 years,White,female,20,34246.0
Lung and Bronchus,Alaska,2016.0,65-74 years,White,female,24,18526.0
Lung and Bronchus,Arizona,2012.0,45-54 years,White,female,122,342412.0
Lung and Bronchus,Arizona,2012.0,55-64 years,White,female,303,344796.0
Lung and Bronchus,Arizona,2012.0,65-74 years,White,female,681,262501.0
Lung and Bronchus,Arizona,2012.0,75-84 years,White,female,489,145895.0
Lung and Bronchus,Arizona,2012.0,85+ years,White,female,163,66342.0
Lung and Bronchus,Arizona,2013.0,45-54 years,White,female,71,337989.0
Lung and Bronchus,Arizona,2013.0,55-64 years,White,female,314,348311.0
Lung and Bronchus,Arizona,2013.0,65-74 years,White,female,649,278740.0
Lung and Bronchus,Arizona,2013.0,75-84 years,White,female,538,151466.0
Lung and Bronchus,Arizona,2013.0,85+ years,White,female,198,66678.0
Lung and Bronchus,Arizona,2014.0,45-54 years,White,female,84,337538.0
Lung and Bronchus,Arizona,2014.0,55-64 years,White,female,306,353759.0
Lung and Bronchus,Arizona,2014.0,65-74 years,White,female,685,293823.0
Lung and Bronchus,Arizona,2014.0,75-84 years,White,female,517,157718.0
Lung and Bronchus,Arizona,2014.0,85+ years,White,female,174,70231.0
Lung and Bronchus,Arizona,2015.0,45-54 years,White,female,97,333105.0
Lung and Bronchus,Arizona,2015.0,55-64 years,White,female,358,358589.0
Lung and Bronchus,Arizona,2015.0,65-74 years,White,female,679,305449.0
Lung and Bronchus,Arizona,2015.0,75-84 years,White,female,552,163527.0
Lung and Bronchus,Arizona,2015.0,85+ years,White,female,174,72607.0
Lung and Bronchus,Arizona,2016.0,45-54 years,White,female,73,326470.0
Lung and Bronchus,Arizona,2016.0,55-64 years,White,female,319,365255.0
Lung and Bronchus,Arizona,2016.0,65-74 years,White,female,630,318797.0
Lung and Bronchus,Arizona,2016.0,75-84 years,White,female,565,172119.0
Lung and Bronchus,Arizona,2016.0,85+ years,White,female,179,72216.0
Lung and Bronchus,Arkansas,2012.0,45-54 years,Black or African American,female,17,31385.0
Lung and Bronchus,Arkansas,2012.0,45-54 years,White,female,90,160195.0
Lung and Bronchus,Arkansas,2012.0,55-64 years,Black or African American,female,21,27081.0
Lung and Bronchus,Arkansas,2012.0,55-64 years,White,female,209,156179.0
Lung and Bronchus,Arkansas,2012.0,65-74 years,Black or African American,female,38,12231.0
Lung and Bronchus,Arkansas,2012.0,65-74 years,White,female,399,117700.0
Lung and Bronchus,Arkansas,2012.0,75-84 years,White,female,225,69679.0
Lung and Bronchus,Arkansas,2012.0,85+ years,White,female,66,30612.0
Lung and Bronchus,Arkansas,2013.0,45-54 years,White,female,108,156648.0
Lung and Bronchus,Arkansas,2013.0,55-64 years,Black or African American,female,23,27843.0
Lung and Bronchus,Arkansas,2013.0,55-64 years,White,female,215,155252.0
Lung and Bronchus,Arkansas,2013.0,65-74 years,Black or African American,female,20,13483.0
Lung and Bronchus,Arkansas,2013.0,65-74 years,White,female,438,121121.0
Lung and Bronchus,Arkansas,2013.0,75-84 years,Black or African American,female,16,7046.0
Lung and Bronchus,Arkansas,2013.0,75-84 years,White,female,234,71476.0
Lung and Bronchus,Arkansas,2013.0,85+ years,White,female,74,29974.0
Lung and Bronchus,Arkansas,2014.0,45-54 years,Black or African American,female,17,30111.0
Lung and Bronchus,Arkansas,2014.0,45-54 years,White,female,90,153190.0
Lung and Bronchus,Arkansas,2014.0,55-64 years,Black or African American,female,17,28669.0
Lung and Bronchus,Arkansas,2014.0,55-64 years,White,female,254,156276.0
Lung and Bronchus,Arkansas,2014.0,65-74 years,Black or African American,female,23,13671.0
Lung and Bronchus,Arkansas,2014.0,65-74 years,White,female,449,125140.0
Lung and Bronchus,Arkansas,2014.0,75-84 years,White,female,283,68012.0
Lung and Bronchus,Arkansas,2014.0,85+ years,White,female,67,34342.0
Lung and Bronchus,Arkansas,2015.0,45-54 years,White,female,82,152395.0
Lung and Bronchus,Arkansas,2015.0,55-64 years,Black or African American,female,42,29956.0
Lung and Bronchus,Arkansas,2015.0,55-64 years,White,female,286,157934.0
Lung and Bronchus,Arkansas,2015.0,65-74 years,Black or African American,female,42,15123.0
Lung and Bronchus,Arkansas,2015.0,65-74 years,White,female,385,127722.0
Lung and Bronchus,Arkansas,2015.0,75-84 years,White,female,289,70050.0
Lung and Bronchus,Arkansas,2015.0,85+ years,White,female,64,33687.0
Lung and Bronchus,Arkansas,2016.0,35-44 years,White,female,16,138395.0
Lung and Bronchus,Arkansas,2016.0,45-54 years,White,female,81,150790.0
Lung and Bronchus,Arkansas,2016.0,55-64 years,Black or African American,female,52,29481.0
Lung and Bronchus,Arkansas,2016.0,55-64 years,White,female,224,158489.0
Lung and Bronchus,Arkansas,2016.0,65-74 years,Black or African American,female,42,16804.0
Lung and Bronchus,Arkansas,2016.0,65-74 years,White,female,404,130187.0
Lung and Bronchus,Arkansas,2016.0,75-84 years,Black or African American,female,17,8049.0
Lung and Bronchus,Arkansas,2016.0,75-84 years,White,female,280,70502.0
Lung and Bronchus,Arkansas,2016.0,85+ years,White,female,79,34319.0
Lung and Bronchus,California,2012.0,35-44 years,Asian or Pacific Islander,female,20,455073.0
Lung and Bronchus,California,2012.0,35-44 years,White,female,66,1506266.0
Lung and Bronchus,California,2012.0,45-54 years,Asian or Pacific Islander,female,87,411946.0
Lung and Bronchus,California,2012.0,45-54 years,Black or African American,female,69,171702.0
Lung and Bronchus,California,2012.0,45-54 years,White,female,407,1669753.0
Lung and Bronchus,California,2012.0,55-64 years,Asian or Pacific Islander,female,158,353231.0
Lung and Bronchus,California,2012.0,55-64 years,Black or African American,female,154,137646.0
Lung and Bronchus,California,2012.0,55-64 years,White,female,1131,1498666.0
Lung and Bronchus,California,2012.0,65-74 years,Asian or Pacific Islander,female,248,202776.0
Lung and Bronchus,California,2012.0,65-74 years,Black or African American,female,199,77737.0
Lung and Bronchus,California,2012.0,65-74 years,White,female,2146,966541.0
Lung and Bronchus,California,2012.0,75-84 years,Asian or Pacific Islander,female,254,119854.0
Lung and Bronchus,California,2012.0,75-84 years,Black or African American,female,130,42647.0
Lung and Bronchus,California,2012.0,75-84 years,White,female,2113,580302.0
Lung and Bronchus,California,2012.0,85+ years,Asian or Pacific Islander,female,93,49903.0
Lung and Bronchus,California,2012.0,85+ years,Black or African American,female,38,18543.0
Lung and Bronchus,California,2012.0,85+ years,White,female,866,331922.0
Lung and Bronchus,California,2013.0,35-44 years,White,female,59,1498465.0
Lung and Bronchus,California,2013.0,45-54 years,Asian or Pacific Islander,female,89,417270.0
Lung and Bronchus,California,2013.0,45-54 years,Black or African American,female,61,170724.0
Lung and Bronchus,California,2013.0,45-54 years,White,female,367,1633831.0
Lung and Bronchus,California,2013.0,55-64 years,Asian or Pacific Islander,female,171,367333.0
Lung and Bronchus,California,2013.0,55-64 years,Black or African American,female,183,140121.0
Lung and Bronchus,California,2013.0,55-64 years,White,female,1142,1525956.0
Lung and Bronchus,California,2013.0,65-74 years,Asian or Pacific Islander,female,245,219839.0
Lung and Bronchus,California,2013.0,65-74 years,Black or African American,female,172,79929.0
Lung and Bronchus,California,2013.0,65-74 years,White,female,2219,1016782.0
Lung and Bronchus,California,2013.0,75-84 years,Asian or Pacific Islander,female,250,121667.0
Lung and Bronchus,California,2013.0,75-84 years,Black or African American,female,138,43381.0
Lung and Bronchus,California,2013.0,75-84 years,White,female,2077,585608.0
Lung and Bronchus,California,2013.0,85+ years,Asian or Pacific Islander,female,124,56176.0
Lung and Bronchus,California,2013.0,85+ years,Black or African American,female,45,18705.0
Lung and Bronchus,California,2013.0,85+ years,White,female,888,332180.0
Lung and Bronchus,California,2014.0,35-44 years,Asian or Pacific Islander,female,17,464597.0
Lung and Bronchus,California,2014.0,35-44 years,White,female,61,1486164.0
Lung and Bronchus,California,2014.0,45-54 years,Asian or Pacific Islander,female,96,432468.0
Lung and Bronchus,California,2014.0,45-54 years,Black or African American,female,78,165318.0
Lung and Bronchus,California,2014.0,45-54 years,White,female,342,1628357.0
Lung and Bronchus,California,2014.0,55-64 years,Asian or Pacific Islander,female,210,381014.0
Lung and Bronchus,California,2014.0,55-64 years,Black or African American,female,165,144373.0
Lung and Bronchus,California,2014.0,55-64 years,White,female,1157,1538707.0
Lung and Bronchus,California,2014.0,65-74 years,Asian or Pacific Islander,female,245,235603.0
Lung and Bronchus,California,2014.0,65-74 years,Black or African American,female,213,84496.0
Lung and Bronchus,California,2014.0,65-74 years,White,female,2275,1065033.0
Lung and Bronchus,California,2014.0,75-84 years,Asian or Pacific Islander,female,265,129912.0
Lung and Bronchus,California,2014.0,75-84 years,Black or African American,female,161,45962.0
Lung and Bronchus,California,2014.0,75-84 years,White,female,2069,593966.0
Lung and Bronchus,California,2014.0,85+ years,Asian or Pacific Islander,female,119,57967.0
Lung and Bronchus,California,2014.0,85+ years,Black or African American,female,38,18673.0
Lung and Bronchus,California,2014.0,85+ years,White,female,915,331423.0
Lung and Bronchus,California,2015.0,35-44 years,Asian or Pacific Islander,female,23,471947.0
Lung and Bronchus,California,2015.0,35-44 years,White,female,54,1466043.0
Lung and Bronchus,California,2015.0,45-54 years,Asian or Pacific Islander,female,68,439673.0
Lung and Bronchus,California,2015.0,45-54 years,Black or African American,female,58,165249.0
Lung and Bronchus,California,2015.0,45-54 years,White,female,329,1602686.0
Lung and Bronchus,California,2015.0,55-64 years,Asian or Pacific Islander,female,214,394379.0
Lung and Bronchus,California,2015.0,55-64 years,Black or African American,female,181,147530.0
Lung and Bronchus,California,2015.0,55-64 years,White,female,1146,1565767.0
Lung and Bronchus,California,2015.0,65-74 years,Asian or Pacific Islander,female,301,258312.0
Lung and Bronchus,California,2015.0,65-74 years,Black or African American,female,205,89105.0
Lung and Bronchus,California,2015.0,65-74 years,White,female,2280,1107061.0
Lung and Bronchus,California,2015.0,75-84 years,Asian or Pacific Islander,female,281,140387.0
Lung and Bronchus,California,2015.0,75-84 years,Black or African American,female,144,47637.0
Lung and Bronchus,California,2015.0,75-84 years,White,female,2035,604190.0
Lung and Bronchus,California,2015.0,85+ years,Asian or Pacific Islander,female,129,60599.0
Lung and Bronchus,California,2015.0,85+ years,Black or African American,female,51,19265.0
Lung and Bronchus,California,2015.0,85+ years,White,female,883,334102.0
Lung and Bronchus,California,2016.0,35-44 years,White,female,56,1436161.0
Lung and Bronchus,California,2016.0,45-54 years,Asian or Pacific Islander,female,90,442117.0
