Leading Cancer Sites,States,Year,Age Groups,Race,Gender,Count
Colon and Rectum,California,2014.0,45-54 years,White,female,752.0
Colon and Rectum,California,2014.0,55-64 years,Asian or Pacific Islander,female,232.0
Colon and Rectum,California,2014.0,55-64 years,Black or African American,female,126.0
Colon and Rectum,California,2014.0,55-64 years,White,female,1040.0
Colon and Rectum,California,2014.0,65-74 years,Asian or Pacific Islander,female,256.0
Colon and Rectum,California,2014.0,65-74 years,Black or African American,female,127.0
Colon and Rectum,California,2014.0,65-74 years,White,female,1143.0
Colon and Rectum,California,2014.0,75-84 years,Asian or Pacific Islander,female,159.0
Colon and Rectum,California,2014.0,75-84 years,Black or African American,female,99.0
Colon and Rectum,California,2014.0,75-84 years,White,female,1165.0
Colon and Rectum,California,2014.0,85+ years,Asian or Pacific Islander,female,110.0
Colon and Rectum,California,2014.0,85+ years,Black or African American,female,59.0
Colon and Rectum,California,2014.0,85+ years,White,female,824.0
Colon and Rectum,California,2015.0,15-19 years,White,female,17.0
Colon and Rectum,California,2015.0,20-24 years,White,female,24.0
Colon and Rectum,California,2015.0,25-29 years,White,female,27.0
Colon and Rectum,California,2015.0,30-34 years,White,female,53.0
Colon and Rectum,California,2015.0,35-44 years,Asian or Pacific Islander,female,55.0
Colon and Rectum,California,2015.0,35-44 years,Black or African American,female,19.0
Colon and Rectum,California,2015.0,35-44 years,White,female,235.0
Colon and Rectum,California,2015.0,45-54 years,Asian or Pacific Islander,female,166.0
Colon and Rectum,California,2015.0,45-54 years,Black or African American,female,84.0
Colon and Rectum,California,2015.0,45-54 years,White,female,784.0
Colon and Rectum,California,2015.0,55-64 years,Asian or Pacific Islander,female,205.0
Colon and Rectum,California,2015.0,55-64 years,Black or African American,female,121.0
Colon and Rectum,California,2015.0,55-64 years,White,female,1048.0
Colon and Rectum,California,2015.0,65-74 years,Asian or Pacific Islander,female,208.0
Colon and Rectum,California,2015.0,65-74 years,Black or African American,female,122.0
Colon and Rectum,California,2015.0,65-74 years,White,female,1151.0
Colon and Rectum,California,2015.0,75-84 years,Asian or Pacific Islander,female,210.0
Colon and Rectum,California,2015.0,75-84 years,Black or African American,female,99.0
Colon and Rectum,California,2015.0,75-84 years,White,female,1137.0
Colon and Rectum,California,2015.0,85+ years,Asian or Pacific Islander,female,149.0
Colon and Rectum,California,2015.0,85+ years,Black or African American,female,47.0
Colon and Rectum,California,2015.0,85+ years,White,female,829.0
Colon and Rectum,California,2016.0,15-19 years,White,female,16.0
Colon and Rectum,California,2016.0,20-24 years,White,female,26.0
Colon and Rectum,California,2016.0,25-29 years,White,female,28.0
Colon and Rectum,California,2016.0,30-34 years,White,female,63.0
Colon and Rectum,California,2016.0,35-44 years,Asian or Pacific Islander,female,51.0
Colon and Rectum,California,2016.0,35-44 years,White,female,286.0
Colon and Rectum,California,2016.0,45-54 years,Asian or Pacific Islander,female,182.0
Colon and Rectum,California,2016.0,45-54 years,Black or African American,female,72.0
Colon and Rectum,California,2016.0,45-54 years,White,female,756.0
Colon and Rectum,California,2016.0,55-64 years,Asian or Pacific Islander,female,188.0
Colon and Rectum,California,2016.0,55-64 years,Black or African American,female,119.0
Colon and Rectum,California,2016.0,55-64 years,White,female,996.0
Colon and Rectum,California,2016.0,65-74 years,Asian or Pacific Islander,female,245.0
Colon and Rectum,California,2016.0,65-74 years,Black or African American,female,126.0
Colon and Rectum,California,2016.0,65-74 years,White,female,1227.0
Colon and Rectum,California,2016.0,75-84 years,Asian or Pacific Islander,female,196.0
Colon and Rectum,California,2016.0,75-84 years,Black or African American,female,89.0
Colon and Rectum,California,2016.0,75-84 years,White,female,1050.0
Colon and Rectum,California,2016.0,85+ years,Asian or Pacific Islander,female,118.0
Colon and Rectum,California,2016.0,85+ years,Black or African American,female,43.0
Colon and Rectum,California,2016.0,85+ years,White,female,794.0
Colon and Rectum,Colorado,2012.0,35-44 years,White,female,26.0
Colon and Rectum,Colorado,2012.0,45-54 years,White,female,90.0
Colon and Rectum,Colorado,2012.0,55-64 years,White,female,162.0
Colon and Rectum,Colorado,2012.0,65-74 years,White,female,177.0
Colon and Rectum,Colorado,2012.0,75-84 years,White,female,199.0
Colon and Rectum,Colorado,2012.0,85+ years,White,female,118.0
Colon and Rectum,Colorado,2013.0,35-44 years,White,female,27.0
Colon and Rectum,Colorado,2013.0,45-54 years,White,female,126.0
Colon and Rectum,Colorado,2013.0,55-64 years,White,female,149.0
Colon and Rectum,Colorado,2013.0,65-74 years,White,female,189.0
Colon and Rectum,Colorado,2013.0,75-84 years,White,female,194.0
Colon and Rectum,Colorado,2013.0,85+ years,White,female,114.0
Colon and Rectum,Colorado,2014.0,35-44 years,White,female,27.0
Colon and Rectum,Colorado,2014.0,45-54 years,White,female,112.0
Colon and Rectum,Colorado,2014.0,55-64 years,White,female,162.0
Colon and Rectum,Colorado,2014.0,65-74 years,White,female,189.0
Colon and Rectum,Colorado,2014.0,75-84 years,White,female,182.0
Colon and Rectum,Colorado,2014.0,85+ years,White,female,100.0
Colon and Rectum,Colorado,2015.0,35-44 years,White,female,44.0
Colon and Rectum,Colorado,2015.0,45-54 years,White,female,110.0
Colon and Rectum,Colorado,2015.0,55-64 years,White,female,167.0
Colon and Rectum,Colorado,2015.0,65-74 years,White,female,198.0
Colon and Rectum,Colorado,2015.0,75-84 years,White,female,152.0
Colon and Rectum,Colorado,2015.0,85+ years,White,female,110.0
Colon and Rectum,Colorado,2016.0,35-44 years,White,female,21.0
Colon and Rectum,Colorado,2016.0,45-54 years,White,female,117.0
Colon and Rectum,Colorado,2016.0,55-64 years,White,female,166.0
Colon and Rectum,Colorado,2016.0,65-74 years,White,female,167.0
Colon and Rectum,Colorado,2016.0,75-84 years,White,female,189.0
Colon and Rectum,Colorado,2016.0,85+ years,White,female,105.0
Colon and Rectum,Connecticut,2012.0,35-44 years,White,female,19.0
Colon and Rectum,Connecticut,2012.0,45-54 years,White,female,106.0
Colon and Rectum,Connecticut,2012.0,55-64 years,White,female,115.0
Colon and Rectum,Connecticut,2012.0,65-74 years,White,female,151.0
Colon and Rectum,Connecticut,2012.0,75-84 years,White,female,193.0
Colon and Rectum,Connecticut,2012.0,85+ years,White,female,161.0
Colon and Rectum,Connecticut,2013.0,35-44 years,White,female,25.0
Colon and Rectum,Connecticut,2013.0,45-54 years,White,female,89.0
Colon and Rectum,Connecticut,2013.0,55-64 years,White,female,93.0
Colon and Rectum,Connecticut,2013.0,65-74 years,White,female,143.0
Colon and Rectum,Connecticut,2013.0,75-84 years,White,female,154.0
Colon and Rectum,Connecticut,2013.0,85+ years,White,female,145.0
Colon and Rectum,Connecticut,2014.0,35-44 years,White,female,39.0
Colon and Rectum,Connecticut,2014.0,45-54 years,White,female,104.0
Colon and Rectum,Connecticut,2014.0,55-64 years,White,female,116.0
Colon and Rectum,Connecticut,2014.0,65-74 years,White,female,153.0
Colon and Rectum,Connecticut,2014.0,75-84 years,White,female,161.0
Colon and Rectum,Connecticut,2014.0,85+ years,White,female,164.0
Colon and Rectum,Connecticut,2015.0,45-54 years,White,female,67.0
Colon and Rectum,Connecticut,2015.0,55-64 years,White,female,133.0
Colon and Rectum,Connecticut,2015.0,65-74 years,White,female,155.0
Colon and Rectum,Connecticut,2015.0,75-84 years,White,female,158.0
Colon and Rectum,Connecticut,2015.0,85+ years,White,female,131.0
Colon and Rectum,Connecticut,2016.0,45-54 years,White,female,89.0
Colon and Rectum,Connecticut,2016.0,55-64 years,White,female,85.0
Colon and Rectum,Connecticut,2016.0,65-74 years,White,female,150.0
Colon and Rectum,Connecticut,2016.0,75-84 years,White,female,139.0
Colon and Rectum,Connecticut,2016.0,85+ years,White,female,135.0
Colon and Rectum,Delaware,2012.0,65-74 years,White,female,35.0
Colon and Rectum,Delaware,2012.0,75-84 years,White,female,42.0
Colon and Rectum,Delaware,2012.0,85+ years,White,female,22.0
Colon and Rectum,Delaware,2013.0,65-74 years,White,female,34.0
Colon and Rectum,Delaware,2013.0,75-84 years,White,female,35.0
Colon and Rectum,Delaware,2013.0,85+ years,White,female,22.0
Colon and Rectum,Delaware,2014.0,55-64 years,White,female,17.0
Colon and Rectum,Delaware,2014.0,65-74 years,White,female,47.0
Colon and Rectum,Delaware,2014.0,75-84 years,White,female,43.0
Colon and Rectum,Delaware,2014.0,85+ years,White,female,25.0
Colon and Rectum,Delaware,2015.0,55-64 years,White,female,16.0
Colon and Rectum,Delaware,2015.0,65-74 years,White,female,48.0
Colon and Rectum,Delaware,2015.0,75-84 years,White,female,29.0
Colon and Rectum,Delaware,2015.0,85+ years,White,female,20.0
Colon and Rectum,Delaware,2016.0,55-64 years,White,female,19.0
Colon and Rectum,Delaware,2016.0,65-74 years,White,female,41.0
Colon and Rectum,Delaware,2016.0,75-84 years,White,female,37.0
Colon and Rectum,Delaware,2016.0,85+ years,White,female,25.0
Colon and Rectum,District of Columbia,2013.0,85+ years,Black or African American,female,18.0
Colon and Rectum,Florida,2012.0,30-34 years,White,female,27.0
Colon and Rectum,Florida,2012.0,35-44 years,Black or African American,female,25.0
Colon and Rectum,Florida,2012.0,35-44 years,White,female,129.0
Colon and Rectum,Florida,2012.0,45-54 years,Black or African American,female,93.0
Colon and Rectum,Florida,2012.0,45-54 years,White,female,391.0
Colon and Rectum,Florida,2012.0,55-64 years,Black or African American,female,143.0
Colon and Rectum,Florida,2012.0,55-64 years,White,female,610.0
Colon and Rectum,Florida,2012.0,65-74 years,Black or African American,female,128.0
Colon and Rectum,Florida,2012.0,65-74 years,White,female,982.0
Colon and Rectum,Florida,2012.0,75-84 years,Black or African American,female,108.0
Colon and Rectum,Florida,2012.0,75-84 years,White,female,1037.0
Colon and Rectum,Florida,2012.0,85+ years,Black or African American,female,49.0
Colon and Rectum,Florida,2012.0,85+ years,White,female,711.0
Colon and Rectum,Florida,2013.0,30-34 years,White,female,25.0
Colon and Rectum,Florida,2013.0,35-44 years,Black or African American,female,17.0
Colon and Rectum,Florida,2013.0,35-44 years,White,female,127.0
Colon and Rectum,Florida,2013.0,45-54 years,Black or African American,female,102.0
Colon and Rectum,Florida,2013.0,45-54 years,White,female,414.0
Colon and Rectum,Florida,2013.0,55-64 years,Black or African American,female,165.0
Colon and Rectum,Florida,2013.0,55-64 years,White,female,667.0
Colon and Rectum,Florida,2013.0,65-74 years,Black or African American,female,133.0
Colon and Rectum,Florida,2013.0,65-74 years,White,female,967.0
Colon and Rectum,Florida,2013.0,75-84 years,Black or African American,female,107.0
Colon and Rectum,Florida,2013.0,75-84 years,White,female,1033.0
Colon and Rectum,Florida,2013.0,85+ years,Black or African American,female,48.0
Colon and Rectum,Florida,2013.0,85+ years,White,female,686.0
Colon and Rectum,Florida,2014.0,25-29 years,White,female,16.0
Colon and Rectum,Florida,2014.0,30-34 years,White,female,24.0
Colon and Rectum,Florida,2014.0,35-44 years,Black or African American,female,27.0
Colon and Rectum,Florida,2014.0,35-44 years,White,female,127.0
Colon and Rectum,Florida,2014.0,45-54 years,Black or African American,female,115.0
Colon and Rectum,Florida,2014.0,45-54 years,White,female,434.0
Colon and Rectum,Florida,2014.0,55-64 years,Black or African American,female,156.0
Colon and Rectum,Florida,2014.0,55-64 years,White,female,724.0
Colon and Rectum,Florida,2014.0,65-74 years,Black or African American,female,144.0
Colon and Rectum,Florida,2014.0,65-74 years,White,female,984.0
Colon and Rectum,Florida,2014.0,75-84 years,Black or African American,female,102.0
Colon and Rectum,Florida,2014.0,75-84 years,White,female,924.0
Colon and Rectum,Florida,2014.0,85+ years,Black or African American,female,58.0
Colon and Rectum,Florida,2014.0,85+ years,White,female,613.0
Colon and Rectum,Florida,2015.0,25-29 years,White,female,16.0
Colon and Rectum,Florida,2015.0,30-34 years,White,female,22.0
Colon and Rectum,Florida,2015.0,35-44 years,Black or African American,female,33.0
Colon and Rectum,Florida,2015.0,35-44 years,White,female,132.0
Colon and Rectum,Florida,2015.0,45-54 years,Black or African American,female,105.0
Colon and Rectum,Florida,2015.0,45-54 years,White,female,461.0
Colon and Rectum,Florida,2015.0,55-64 years,Black or African American,female,178.0
Colon and Rectum,Florida,2015.0,55-64 years,White,female,762.0
Colon and Rectum,Florida,2015.0,65-74 years,Black or African American,female,128.0
Colon and Rectum,Florida,2015.0,65-74 years,White,female,964.0
Colon and Rectum,Florida,2015.0,75-84 years,Black or African American,female,95.0
Colon and Rectum,Florida,2015.0,75-84 years,White,female,950.0
Colon and Rectum,Florida,2015.0,85+ years,Black or African American,female,51.0
Colon and Rectum,Florida,2015.0,85+ years,White,female,635.0
Colon and Rectum,Florida,2016.0,30-34 years,White,female,22.0
Colon and Rectum,Florida,2016.0,35-44 years,Black or African American,female,26.0
Colon and Rectum,Florida,2016.0,35-44 years,White,female,133.0
Colon and Rectum,Florida,2016.0,45-54 years,Black or African American,female,111.0
Colon and Rectum,Florida,2016.0,45-54 years,White,female,438.0
Colon and Rectum,Florida,2016.0,55-64 years,Black or African American,female,131.0
Colon and Rectum,Florida,2016.0,55-64 years,White,female,708.0
Colon and Rectum,Florida,2016.0,65-74 years,Black or African American,female,148.0
Colon and Rectum,Florida,2016.0,65-74 years,White,female,1010.0
Colon and Rectum,Florida,2016.0,75-84 years,Black or African American,female,101.0
Colon and Rectum,Florida,2016.0,75-84 years,White,female,965.0
Colon and Rectum,Florida,2016.0,85+ years,Black or African American,female,54.0
Colon and Rectum,Florida,2016.0,85+ years,White,female,628.0
Colon and Rectum,Georgia,2012.0,30-34 years,White,female,22.0
Colon and Rectum,Georgia,2012.0,35-44 years,Black or African American,female,25.0
Colon and Rectum,Georgia,2012.0,35-44 years,White,female,47.0
Colon and Rectum,Georgia,2012.0,45-54 years,Black or African American,female,142.0
Colon and Rectum,Georgia,2012.0,45-54 years,White,female,195.0
Colon and Rectum,Georgia,2012.0,55-64 years,Black or African American,female,156.0
Colon and Rectum,Georgia,2012.0,55-64 years,White,female,273.0
Colon and Rectum,Georgia,2012.0,65-74 years,Black or African American,female,127.0
Colon and Rectum,Georgia,2012.0,65-74 years,White,female,333.0
Colon and Rectum,Georgia,2012.0,75-84 years,Black or African American,female,98.0
Colon and Rectum,Georgia,2012.0,75-84 years,White,female,268.0
Colon and Rectum,Georgia,2012.0,85+ years,Black or African American,female,42.0
Colon and Rectum,Georgia,2012.0,85+ years,White,female,146.0
Colon and Rectum,Georgia,2013.0,35-44 years,Black or African American,female,31.0
Colon and Rectum,Georgia,2013.0,35-44 years,White,female,48.0
Colon and Rectum,Georgia,2013.0,45-54 years,Black or African American,female,115.0
Colon and Rectum,Georgia,2013.0,45-54 years,White,female,200.0
Colon and Rectum,Georgia,2013.0,55-64 years,Black or African American,female,154.0
Colon and Rectum,Georgia,2013.0,55-64 years,White,female,256.0
Colon and Rectum,Georgia,2013.0,65-74 years,Black or African American,female,156.0
Colon and Rectum,Georgia,2013.0,65-74 years,White,female,350.0
Colon and Rectum,Georgia,2013.0,75-84 years,Black or African American,female,98.0
Colon and Rectum,Georgia,2013.0,75-84 years,White,female,254.0
Colon and Rectum,Georgia,2013.0,85+ years,Black or African American,female,35.0
Colon and Rectum,Georgia,2013.0,85+ years,White,female,148.0
Colon and Rectum,Georgia,2014.0,35-44 years,Black or African American,female,27.0
Colon and Rectum,Georgia,2014.0,35-44 years,White,female,51.0
Colon and Rectum,Georgia,2014.0,45-54 years,Black or African American,female,144.0
Colon and Rectum,Georgia,2014.0,45-54 years,White,female,182.0
Colon and Rectum,Georgia,2014.0,55-64 years,Black or African American,female,179.0
Colon and Rectum,Georgia,2014.0,55-64 years,White,female,274.0
Colon and Rectum,Georgia,2014.0,65-74 years,Black or African American,female,145.0
Colon and Rectum,Georgia,2014.0,65-74 years,White,female,318.0
Colon and Rectum,Georgia,2014.0,75-84 years,Black or African American,female,102.0
Colon and Rectum,Georgia,2014.0,75-84 years,White,female,282.0
Colon and Rectum,Georgia,2014.0,85+ years,Black or African American,female,38.0
Colon and Rectum,Georgia,2014.0,85+ years,White,female,160.0
Colon and Rectum,Georgia,2015.0,35-44 years,Black or African American,female,39.0
Colon and Rectum,Georgia,2015.0,35-44 years,White,female,70.0
Colon and Rectum,Georgia,2015.0,45-54 years,Black or African American,female,141.0
Colon and Rectum,Georgia,2015.0,45-54 years,White,female,187.0
Colon and Rectum,Georgia,2015.0,55-64 years,Black or African American,female,163.0
Colon and Rectum,Georgia,2015.0,55-64 years,White,female,305.0
Colon and Rectum,Georgia,2015.0,65-74 years,Black or African American,female,149.0
Colon and Rectum,Georgia,2015.0,65-74 years,White,female,363.0
Colon and Rectum,Georgia,2015.0,75-84 years,Black or African American,female,93.0
Colon and Rectum,Georgia,2015.0,75-84 years,White,female,274.0
Colon and Rectum,Georgia,2015.0,85+ years,Black or African American,female,46.0
Colon and Rectum,Georgia,2015.0,85+ years,White,female,155.0
Colon and Rectum,Georgia,2016.0,35-44 years,Black or African American,female,30.0
Colon and Rectum,Georgia,2016.0,35-44 years,White,female,63.0
Colon and Rectum,Georgia,2016.0,45-54 years,Black or African American,female,166.0
Colon and Rectum,Georgia,2016.0,45-54 years,White,female,198.0
Colon and Rectum,Georgia,2016.0,55-64 years,Black or African American,female,166.0
Colon and Rectum,Georgia,2016.0,55-64 years,White,female,292.0
Colon and Rectum,Georgia,2016.0,65-74 years,Black or African American,female,168.0
Colon and Rectum,Georgia,2016.0,65-74 years,White,female,379.0
Colon and Rectum,Georgia,2016.0,75-84 years,Black or African American,female,109.0
Colon and Rectum,Georgia,2016.0,75-84 years,White,female,283.0
Colon and Rectum,Georgia,2016.0,85+ years,Black or African American,female,29.0
Colon and Rectum,Georgia,2016.0,85+ years,White,female,156.0
Colon and Rectum,Hawaii,2012.0,45-54 years,Asian or Pacific Islander,female,23.0
Colon and Rectum,Hawaii,2012.0,55-64 years,Asian or Pacific Islander,female,39.0
Colon and Rectum,Hawaii,2012.0,65-74 years,Asian or Pacific Islander,female,41.0
Colon and Rectum,Hawaii,2012.0,75-84 years,Asian or Pacific Islander,female,43.0
Colon and Rectum,Hawaii,2012.0,85+ years,Asian or Pacific Islander,female,43.0
Colon and Rectum,Hawaii,2013.0,45-54 years,Asian or Pacific Islander,female,29.0
Colon and Rectum,Hawaii,2013.0,55-64 years,Asian or Pacific Islander,female,49.0
Colon and Rectum,Hawaii,2013.0,65-74 years,Asian or Pacific Islander,female,53.0
Colon and Rectum,Hawaii,2013.0,75-84 years,Asian or Pacific Islander,female,49.0
Colon and Rectum,Hawaii,2013.0,85+ years,Asian or Pacific Islander,female,35.0
Colon and Rectum,Hawaii,2014.0,45-54 years,Asian or Pacific Islander,female,35.0
Colon and Rectum,Hawaii,2014.0,55-64 years,Asian or Pacific Islander,female,47.0
Colon and Rectum,Hawaii,2014.0,65-74 years,Asian or Pacific Islander,female,51.0
Colon and Rectum,Hawaii,2014.0,75-84 years,Asian or Pacific Islander,female,46.0
Colon and Rectum,Hawaii,2014.0,85+ years,Asian or Pacific Islander,female,41.0
Colon and Rectum,Hawaii,2015.0,45-54 years,Asian or Pacific Islander,female,20.0
Colon and Rectum,Hawaii,2015.0,55-64 years,Asian or Pacific Islander,female,40.0
Colon and Rectum,Hawaii,2015.0,65-74 years,Asian or Pacific Islander,female,49.0
Colon and Rectum,Hawaii,2015.0,75-84 years,Asian or Pacific Islander,female,51.0
Colon and Rectum,Hawaii,2015.0,85+ years,Asian or Pacific Islander,female,41.0
Colon and Rectum,Hawaii,2016.0,45-54 years,Asian or Pacific Islander,female,31.0
Colon and Rectum,Hawaii,2016.0,55-64 years,Asian or Pacific Islander,female,46.0
Colon and Rectum,Hawaii,2016.0,65-74 years,Asian or Pacific Islander,female,56.0
Colon and Rectum,Hawaii,2016.0,65-74 years,White,female,16.0
Colon and Rectum,Hawaii,2016.0,75-84 years,Asian or Pacific Islander,female,25.0
Colon and Rectum,Hawaii,2016.0,85+ years,Asian or Pacific Islander,female,41.0
Colon and Rectum,Idaho,2012.0,45-54 years,White,female,16.0
Colon and Rectum,Idaho,2012.0,55-64 years,White,female,58.0
Colon and Rectum,Idaho,2012.0,65-74 years,White,female,69.0
Colon and Rectum,Idaho,2012.0,75-84 years,White,female,69.0
Colon and Rectum,Idaho,2012.0,85+ years,White,female,37.0
Colon and Rectum,Idaho,2013.0,45-54 years,White,female,23.0
Colon and Rectum,Idaho,2013.0,55-64 years,White,female,46.0
Colon and Rectum,Idaho,2013.0,65-74 years,White,female,48.0
Colon and Rectum,Idaho,2013.0,75-84 years,White,female,72.0
Colon and Rectum,Idaho,2013.0,85+ years,White,female,35.0
Colon and Rectum,Idaho,2014.0,45-54 years,White,female,32.0
Colon and Rectum,Idaho,2014.0,55-64 years,White,female,61.0
Colon and Rectum,Idaho,2014.0,65-74 years,White,female,86.0
Colon and Rectum,Idaho,2014.0,75-84 years,White,female,67.0
Colon and Rectum,Idaho,2014.0,85+ years,White,female,27.0
Colon and Rectum,Idaho,2015.0,45-54 years,White,female,25.0
Colon and Rectum,Idaho,2015.0,55-64 years,White,female,69.0
Colon and Rectum,Idaho,2015.0,65-74 years,White,female,82.0
Colon and Rectum,Idaho,2015.0,75-84 years,White,female,64.0
Colon and Rectum,Idaho,2015.0,85+ years,White,female,40.0
Colon and Rectum,Idaho,2016.0,45-54 years,White,female,27.0
Colon and Rectum,Idaho,2016.0,55-64 years,White,female,57.0
Colon and Rectum,Idaho,2016.0,65-74 years,White,female,86.0
Colon and Rectum,Idaho,2016.0,75-84 years,White,female,59.0
Colon and Rectum,Idaho,2016.0,85+ years,White,female,27.0
Colon and Rectum,Illinois,2012.0,35-44 years,White,female,81.0
Colon and Rectum,Illinois,2012.0,45-54 years,Black or African American,female,64.0
Colon and Rectum,Illinois,2012.0,45-54 years,White,female,252.0
Colon and Rectum,Illinois,2012.0,55-64 years,Black or African American,female,123.0
Colon and Rectum,Illinois,2012.0,55-64 years,White,female,415.0
Colon and Rectum,Illinois,2012.0,65-74 years,Black or African American,female,114.0
Colon and Rectum,Illinois,2012.0,65-74 years,White,female,543.0
Colon and Rectum,Illinois,2012.0,75-84 years,Black or African American,female,102.0
Colon and Rectum,Illinois,2012.0,75-84 years,White,female,578.0
Colon and Rectum,Illinois,2012.0,85+ years,Black or African American,female,51.0
Colon and Rectum,Illinois,2012.0,85+ years,White,female,446.0
Colon and Rectum,Illinois,2013.0,30-34 years,White,female,17.0
Colon and Rectum,Illinois,2013.0,35-44 years,White,female,87.0
Colon and Rectum,Illinois,2013.0,45-54 years,Black or African American,female,92.0
Colon and Rectum,Illinois,2013.0,45-54 years,White,female,268.0
Colon and Rectum,Illinois,2013.0,55-64 years,Black or African American,female,115.0
Colon and Rectum,Illinois,2013.0,55-64 years,White,female,412.0
Colon and Rectum,Illinois,2013.0,65-74 years,Black or African American,female,113.0
Colon and Rectum,Illinois,2013.0,65-74 years,White,female,547.0
Colon and Rectum,Illinois,2013.0,75-84 years,Black or African American,female,98.0
Colon and Rectum,Illinois,2013.0,75-84 years,White,female,584.0
Colon and Rectum,Illinois,2013.0,85+ years,Black or African American,female,51.0
Colon and Rectum,Illinois,2013.0,85+ years,White,female,446.0
Colon and Rectum,Illinois,2014.0,30-34 years,White,female,19.0
Colon and Rectum,Illinois,2014.0,35-44 years,White,female,77.0
Colon and Rectum,Illinois,2014.0,45-54 years,Black or African American,female,78.0
Colon and Rectum,Illinois,2014.0,45-54 years,White,female,275.0
Colon and Rectum,Illinois,2014.0,55-64 years,Black or African American,female,111.0
Colon and Rectum,Illinois,2014.0,55-64 years,White,female,471.0
Colon and Rectum,Illinois,2014.0,65-74 years,Black or African American,female,110.0
Colon and Rectum,Illinois,2014.0,65-74 years,White,female,523.0
Colon and Rectum,Illinois,2014.0,75-84 years,Black or African American,female,101.0
Colon and Rectum,Illinois,2014.0,75-84 years,White,female,552.0
Colon and Rectum,Illinois,2014.0,85+ years,Black or African American,female,42.0
Colon and Rectum,Illinois,2014.0,85+ years,White,female,416.0
Colon and Rectum,Illinois,2015.0,30-34 years,White,female,23.0
Colon and Rectum,Illinois,2015.0,35-44 years,Black or African American,female,20.0
Colon and Rectum,Illinois,2015.0,35-44 years,White,female,84.0
Colon and Rectum,Illinois,2015.0,45-54 years,Black or African American,female,73.0
Colon and Rectum,Illinois,2015.0,45-54 years,White,female,270.0
Colon and Rectum,Illinois,2015.0,55-64 years,Black or African American,female,127.0
Colon and Rectum,Illinois,2015.0,55-64 years,White,female,408.0
Colon and Rectum,Illinois,2015.0,65-74 years,Black or African American,female,113.0
Colon and Rectum,Illinois,2015.0,65-74 years,White,female,541.0
Colon and Rectum,Illinois,2015.0,75-84 years,Black or African American,female,89.0
Colon and Rectum,Illinois,2015.0,75-84 years,White,female,565.0
Colon and Rectum,Illinois,2015.0,85+ years,Black or African American,female,35.0
Colon and Rectum,Illinois,2015.0,85+ years,White,female,429.0
Colon and Rectum,Illinois,2016.0,30-34 years,White,female,17.0
Colon and Rectum,Illinois,2016.0,35-44 years,White,female,120.0
Colon and Rectum,Illinois,2016.0,45-54 years,Black or African American,female,78.0
Colon and Rectum,Illinois,2016.0,45-54 years,White,female,299.0
Colon and Rectum,Illinois,2016.0,55-64 years,Black or African American,female,120.0
Colon and Rectum,Illinois,2016.0,55-64 years,White,female,432.0
Colon and Rectum,Illinois,2016.0,65-74 years,Black or African American,female,141.0
Colon and Rectum,Illinois,2016.0,65-74 years,White,female,588.0
Colon and Rectum,Illinois,2016.0,75-84 years,Black or African American,female,92.0
Colon and Rectum,Illinois,2016.0,75-84 years,White,female,572.0
Colon and Rectum,Illinois,2016.0,85+ years,Black or African American,female,48.0
Colon and Rectum,Illinois,2016.0,85+ years,White,female,396.0
Colon and Rectum,Indiana,2012.0,35-44 years,White,female,47.0
Colon and Rectum,Indiana,2012.0,45-54 years,White,female,163.0
Colon and Rectum,Indiana,2012.0,55-64 years,Black or African American,female,22.0
Colon and Rectum,Indiana,2012.0,55-64 years,White,female,237.0
Colon and Rectum,Indiana,2012.0,65-74 years,Black or African American,female,16.0
Colon and Rectum,Indiana,2012.0,65-74 years,White,female,333.0
Colon and Rectum,Indiana,2012.0,75-84 years,White,female,372.0
Colon and Rectum,Indiana,2012.0,85+ years,White,female,221.0
Colon and Rectum,Indiana,2013.0,35-44 years,White,female,56.0
Colon and Rectum,Indiana,2013.0,45-54 years,Black or African American,female,16.0
Colon and Rectum,Indiana,2013.0,45-54 years,White,female,184.0
Colon and Rectum,Indiana,2013.0,55-64 years,White,female,209.0
Colon and Rectum,Indiana,2013.0,65-74 years,White,female,328.0
Colon and Rectum,Indiana,2013.0,75-84 years,Black or African American,female,17.0
Colon and Rectum,Indiana,2013.0,75-84 years,White,female,379.0
Colon and Rectum,Indiana,2013.0,85+ years,Black or African American,female,20.0
Colon and Rectum,Indiana,2013.0,85+ years,White,female,235.0
Colon and Rectum,Indiana,2014.0,35-44 years,White,female,61.0
Colon and Rectum,Indiana,2014.0,45-54 years,White,female,165.0
Colon and Rectum,Indiana,2014.0,55-64 years,Black or African American,female,34.0
Colon and Rectum,Indiana,2014.0,55-64 years,White,female,278.0
Colon and Rectum,Indiana,2014.0,65-74 years,Black or African American,female,16.0
Colon and Rectum,Indiana,2014.0,65-74 years,White,female,330.0
Colon and Rectum,Indiana,2014.0,75-84 years,White,female,334.0
Colon and Rectum,Indiana,2014.0,85+ years,White,female,203.0
Colon and Rectum,Indiana,2015.0,35-44 years,White,female,61.0
Colon and Rectum,Indiana,2015.0,45-54 years,White,female,178.0
Colon and Rectum,Indiana,2015.0,55-64 years,Black or African American,female,18.0
Colon and Rectum,Indiana,2015.0,55-64 years,White,female,267.0
Colon and Rectum,Indiana,2015.0,65-74 years,White,female,321.0
Colon and Rectum,Indiana,2015.0,75-84 years,Black or African American,female,17.0
Colon and Rectum,Indiana,2015.0,75-84 years,White,female,336.0
